model,epochs_ran,best_epoch,best_val_dice,best_val_iou,best_val_loss,final_train_loss,final_val_loss,optimizer,scheduler,loss,trainable_params,mean_latency_ms,std_latency_ms,throughput_img_s,peak_memory_mb,dice_per_ms,dice_per_gb,opt_amp_mode,opt_channels_last,opt_compile_model,opt_compile_mode,opt_gradient_checkpointing,opt_grad_accumulation_steps,opt_max_grad_norm,opt_ema_decay,opt_persistent_workers,opt_prefetch_factor,opt_gradient_checkpointing_modules,test_loss,test_dice,test_iou,opt_quantized_cpu
segformer_b0_merged,12,12,0.9256435436025374,0.9115536098816533,0.057164696354386244,0.05909569358069827,0.057164696354386244,adamw,cosine,dice_bce,3715172,12.69882574081421,1.329809515588686,78.74743857504758,291.2333984375,0.07289205809223019,3.2546369809725415,fp16,True,True,reduce-overhead,False,1,1.0,0.999,True,2,[],0.042101755166684525,0.9466411049564045,0.935037338600372,
segformer_b0_merged_quantized_cpu,12,12,0.9256435436025374,0.9115536098816533,0.057164696354386244,0.05909569358069827,0.057164696354386244,adamw,cosine,dice_bce,3715172,349.1066341000078,14.629578888485632,2.8644543022735345,0.0,0.07289205809223019,3.2546369809725415,fp16,True,True,reduce-overhead,False,1,1.0,0.999,True,2,[],0.042101755166684525,0.9466411049564045,0.935037338600372,True
