model,epochs_ran,best_epoch,best_val_dice,best_val_iou,best_val_loss,final_train_loss,final_val_loss,optimizer,scheduler,loss,trainable_params,mean_latency_ms,std_latency_ms,throughput_img_s,peak_memory_mb,dice_per_ms,dice_per_gb,opt_amp_mode,opt_channels_last,opt_compile_model,opt_compile_mode,opt_gradient_checkpointing,opt_grad_accumulation_steps,opt_max_grad_norm,opt_ema_decay,opt_persistent_workers,opt_prefetch_factor,opt_gradient_checkpointing_modules,test_loss,test_dice,test_iou,samples
sam_head_merged,4.0,1.0,0.8417746149749972,0.8363514343897501,0.12671636757283883,0.12149818660919935,0.15626866758906896,adamw,cosine,dice_bce,4434036,479.79967346191404,3.9777445321441323,2.0842031691782275,8760.322265625,0.0017544293202646714,0.09839560459056923,fp16,False,False,reduce-overhead,False,2.0,1.0,0.999,True,2.0,[],0.10466189338921159,0.8755418120122632,0.8715795531410162,
sam_prompt_box,,,0.9026763220628102,0.8736358096202215,,,,none,none,prompt_inference,0,484.6182822667591,67.13471113380116,2.063479725367744,,,,,,,,,,,,,,,,0.9026763220628102,0.8736358096202215,60.0
sam_prompt_point,,,0.8577313423156738,0.8304340561230977,,,,none,none,prompt_inference,0,479.4501580000239,34.76575520388176,2.085722537190091,,,,,,,,,,,,,,,,0.8577313423156738,0.8304340561230977,60.0
